Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
76283032,-1.88,-168.57,5.4,9.28,-4.9,7.3,-42.3
76460022,-1.87,-168.54,5.4,9.33,-5.0,7.3,-42.5
76637012,-1.87,-168.61,5.4,9.34,-4.9,7.3,-42.4
76814004,-1.86,-168.67,5.4,9.36,-4.9,7.3,-42.3
76990994,-1.85,-168.68,5.4,9.44,-4.9,7.3,-42.5
77167984,-1.83,-168.77,5.3,9.52,-4.9,7.2,-42.5
77344976,-1.83,-168.77,5.3,9.54,-4.9,7.2,-42.6
77521966,-1.82,-168.83,5.3,9.59,-4.8,7.1,-42.6
77698956,-1.81,-168.81,5.2,9.64,-4.8,7.1,-42.8
77875948,-1.80,-168.87,5.2,9.68,-4.8,7.1,-42.8
78052938,-1.79,-168.94,5.2,9.74,-4.8,7.1,-42.7
78229928,-1.78,-168.96,5.1,9.80,-4.8,7.0,-42.9
78406920,-1.77,-168.95,5.1,9.84,-4.8,7.0,-43.0
78583910,-1.76,-169.05,5.1,9.93,-4.7,7.0,-43.0
78760900,-1.75,-169.16,5.1,9.96,-4.7,6.9,-42.8
78937892,-1.74,-169.23,5.0,10.03,-4.7,6.9,-42.8
79114882,-1.73,-169.32,5.0,10.10,-4.6,6.8,-42.8
79291872,-1.72,-169.38,5.0,10.15,-4.6,6.8,-42.8
79468864,-1.71,-169.47,5.0,10.18,-4.6,6.7,-42.7
79645854,-1.71,-169.55,4.9,10.22,-4.5,6.7,-42.5
79822844,-1.71,-169.67,4.9,10.21,-4.5,6.7,-42.2
79999836,-1.69,-169.75,4.9,10.30,-4.4,6.6,-42.2
80176826,-1.68,-169.88,4.9,10.36,-4.4,6.5,-42.0
80353816,-1.68,-169.96,4.9,10.37,-4.3,6.5,-41.9
80530808,-1.67,-170.10,4.8,10.42,-4.3,6.5,-41.6
80707798,-1.66,-170.20,4.8,10.50,-4.2,6.4,-41.5
80884788,-1.66,-170.30,4.8,10.52,-4.2,6.4,-41.3
81061780,-1.64,-170.38,4.7,10.62,-4.2,6.3,-41.3
81238770,-1.63,-170.45,4.7,10.69,-4.1,6.3,-41.3
81415760,-1.62,-170.60,4.7,10.74,-4.1,6.2,-41.0
81592752,-1.62,-170.73,4.7,10.78,-4.0,6.2,-40.7
81769742,-1.61,-170.79,4.6,10.84,-4.0,6.1,-40.7
81946732,-1.59,-170.89,4.6,10.92,-4.0,6.1,-40.6
82123724,-1.59,-171.09,4.6,10.94,-3.9,6.0,-40.0
82300714,-1.58,-171.20,4.6,11.03,-3.8,5.9,-39.9
82477704,-1.58,-171.31,4.6,11.03,-3.8,5.9,-39.6
82654696,-1.57,-171.43,4.5,11.09,-3.7,5.9,-39.4
82831686,-1.55,-171.54,4.5,11.23,-3.7,5.8,-39.3
83008676,-1.56,-171.64,4.5,11.18,-3.6,5.8,-38.9
83185668,-1.54,-171.76,4.4,11.30,-3.6,5.7,-38.8
83362658,-1.54,-171.88,4.4,11.34,-3.5,5.7,-38.5
83539648,-1.54,-172.02,4.4,11.33,-3.5,5.6,-38.0
83716640,-1.53,-172.21,4.4,11.38,-3.4,5.6,-37.4
83893630,-1.53,-172.32,4.4,11.40,-3.3,5.5,-37.1
84070620,-1.52,-172.45,4.4,11.47,-3.3,5.5,-36.8
84247612,-1.51,-172.55,4.4,11.54,-3.2,5.4,-36.6
84424602,-1.51,-172.68,4.3,11.55,-3.2,5.4,-36.1
84601592,-1.50,-172.83,4.3,11.62,-3.1,5.3,-35.7
84778584,-1.50,-173.00,4.3,11.59,-3.0,5.3,-35.0
84955574,-1.49,-173.05,4.3,11.68,-3.0,5.2,-35.0
